noise_type,eps,No denoise,Spike removal,Majority filter,HMM Viterbi,HMM Marginal,GNN-U,GNN-B,GNN-MIX
burst,0.05,0.257089671288924,0.24300319449421945,0.20240394329750716,0.22097736789310238,0.2267585072640558,0.20691538236428766,0.21189542073682724,0.2047528538188165
burst,0.1,0.3022048488904065,0.285889913083183,0.22594699238726115,0.22119665928509072,0.2360652258968246,0.22211861007139685,0.2228294627946293,0.21692615649320654
burst,0.15,0.34693051728876967,0.32801308673542784,0.24882411927678466,0.21228205983029186,0.2396805233014044,0.23651565755850437,0.23330542525622489,0.2277979845068957
burst,0.2,0.38962740840865373,0.36737375597402105,0.2716938754318176,0.20313328427902935,0.23942732197959163,0.2500287013326947,0.2427659847291266,0.2388766642219444
burst,0.25,0.4321008585419604,0.4071317295519807,0.2972064942898246,0.1913068817515811,0.23741843319005182,0.26523783470488616,0.2563581047810225,0.2518249232954417
burst,0.3,0.47574398904834514,0.4478850430078759,0.32481834377250723,0.17969458732250948,0.23692970402041205,0.28317019653735975,0.2709633510152585,0.26576657614769067
burst,0.35,0.5185588997101415,0.4880597010186869,0.3509459179459655,0.16937096582657682,0.23265794416181762,0.2988791842383257,0.28428762355425063,0.279347099100296
burst,0.4,0.5597763089387887,0.5252655501319042,0.375902802160463,0.15681040816408495,0.22721549110472575,0.3158156036598364,0.2999237637022148,0.2929257471125061
burst,0.45,0.5990010137649936,0.5626142311565375,0.405123287382979,0.14271152486754785,0.2241805621303386,0.33339287029862763,0.3147955552861774,0.3085290643328616
burst,0.5,0.6391438752907063,0.5999320903388297,0.4354617858852931,0.12651594041282582,0.2183082661101022,0.34992003224657875,0.3311267839760809,0.322646424939883
uniform,0.05,0.28537927404503316,0.22113538796742963,0.19045021799509682,0.2107453294393901,0.2126851410472111,0.19386081046462514,0.21025517621280618,0.19501361268637882
uniform,0.1,0.3551739556376207,0.24928519516370393,0.19887142176340178,0.206277392643587,0.21143140669625246,0.1959786705229924,0.21611815320469546,0.1969840832739688
uniform,0.15,0.4267328257726971,0.28458642679339174,0.2073878337785596,0.1944852113687679,0.20800696436346044,0.20027601585658716,0.22357551856290242,0.2014096269919852
uniform,0.2,0.48856833111036774,0.32415646344340604,0.2193418647378241,0.1872932519491366,0.20363990847136393,0.20637915498668738,0.23192411802836876,0.2066319768729578
uniform,0.25,0.5483731564771415,0.3671993915294499,0.2342014568000769,0.17725483681305426,0.19871578419895347,0.21614199740576615,0.24210942009959968,0.21571718747477056
uniform,0.3,0.6058244214319369,0.41386635567682295,0.25213257142620976,0.16625362333197627,0.19261618880346176,0.2263372994986432,0.2530512734670601,0.22362860095226547
uniform,0.35,0.6567768243568163,0.4617676584548222,0.27910590666850926,0.15448077578132158,0.1885932335692948,0.2430765268812922,0.2679377265686848,0.23838636329479437
uniform,0.4,0.7049441753789872,0.5128841253215819,0.31124737133238434,0.14035153209015747,0.18212375288529367,0.262126751909495,0.2859035050038949,0.25518971629072973
uniform,0.45,0.7473857136538584,0.5611976586507191,0.3464119699397225,0.12718439086357516,0.17789674015034915,0.28301166009876744,0.3042542176832909,0.27322238898986273
uniform,0.5,0.7880781458308327,0.6103163057671278,0.39026840827525194,0.10983258529036453,0.1709063672078429,0.30919959884755616,0.33186572930430663,0.2947352274428842
